,Are you self-employed?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?
466,-5,5,1,-5,1,-3,-1,1,1,1
467,-5,5,5,-5,1,1,1,5,5,5
468,5,5,1,-5,1,1,5,5,5,5
469,-5,5,5,-5,1,3,1,5,5,5
470,-5,5,1,1,1,1,0,5,1,1
471,-5,5,1,1,1,1,-1,5,-5,-5
472,-5,5,1,1,1,1,0,-5,-5,-5
473,-5,5,5,1,1,-3,0,1,1,1
474,-5,5,1,1,1,1,-1,5,1,1
475,-5,5,-5,-5,1,3,0,-5,1,-5
476,-5,5,-5,-5,3,3,-1,5,5,5
477,-5,5,-5,-5,1,1,-5,5,-5,-5
478,-5,5,1,1,1,1,-1,5,5,1
479,-5,5,1,-5,3,1,-5,-5,1,-5
480,-5,5,5,-5,3,3,1,-5,-5,-5
481,-5,5,1,-5,3,1,1,5,5,-5
482,5,5,5,-5,1,1,5,1,5,5
483,-5,5,5,1,1,1,1,1,5,5
484,-5,5,1,1,1,1,-1,-5,1,1
485,5,5,1,-5,1,-3,1,5,5,5
486,5,-5,-5,-5,1,1,-3,5,1,5
487,-5,-5,5,5,5,1,1,5,5,5
488,5,5,5,5,3,3,5,-5,5,-5
489,-5,5,5,1,1,1,5,5,5,5
490,-5,-5,1,1,3,-3,1,-5,5,1
491,-5,5,1,-5,3,1,-5,-5,-5,1
492,-5,5,-5,-5,5,1,5,5,5,5
493,-5,5,-5,-5,3,1,0,1,1,1
494,-5,5,5,1,1,-3,1,-5,-5,-5
495,-5,5,5,1,1,1,0,-5,5,1
496,-5,5,1,1,-5,-5,5,5,-5,5
497,-5,5,1,1,3,1,5,1,-5,-5
498,5,5,-5,1,-3,1,0,5,1,1
499,5,5,-5,-5,3,1,1,-5,5,1
500,-5,5,-5,-5,1,1,1,-5,5,1
501,5,5,1,-5,5,5,1,5,5,5
502,-5,5,1,-5,3,3,-3,5,1,1
503,-5,5,1,-5,1,1,0,1,5,1
504,-5,5,-5,-5,3,1,0,-5,-5,1
505,-5,5,1,-5,3,3,5,5,5,5
506,-5,5,-5,-5,3,3,0,-5,5,-5
